id,primary_family,title_en,title_zh_tw,description_en,description_zh_tw,core_routes,allowed_materials,typical_forms,default_awareness,legal_status,ownership,autonomy,conversion_consent,typical_location,social_meaning,discovery_class,hidden,designer_notes
END-FAM-002,FAM,The Garden Figure,,The protagonist's permanent placement is a family garden or courtyard.,,Family; Housing,stone; ceramic; metal; wood,garden statue; preserved figure,Unconscious,Family Property or Post-Mobile Citizen,Family; Self via directive,Represented or Restricted,route-derived,family garden; courtyard,household presence; memorial,common,false,"May be loved, ignored, or seasonally decorated."
END-CIV-001,CIV,Living Memorial,,The protagonist becomes an official civic memorial; the word 'living' survives mainly in administrative language.,,Civic; Political,marble; bronze; stone; crystal,public monument,Unconscious,Protected Permanent Citizen or Municipal Property,Government or Self under public custody,Restricted or Represented,route-derived,public square; government site,memorial; civic symbol,uncommon,false,"Rare awareness variants are explicit overrides, not default."
END-CIV-002,CIV,Politically Neutral Landmark,,"After political circumstances change, officials retain the protagonist while removing nearly all information about what she originally represented.",,Civic; Legal,monument-compatible flexible,monument; landmark,Unconscious,Municipal Property or Cultural Property,Government,None or Represented,route-derived,public site,landmark,rare,false,Historical context is administratively simplified.
END-ARC-001,ARC,Structural Support,,The protagonist becomes a literal part of infrastructure or architecture.,,Architectural; Industrial,concrete; stone; metal; composite,column; support; facade element; structural figure,Unconscious,Fixture Attached to Land or Corporate/Municipal Asset,Property Owner; Corporation; Government,None,route-derived,building; infrastructure,infrastructure; employee,uncommon,false,Employment may technically remain active.
END-ACA-001,ACA,Tenure,,The protagonist acquires permanent academic status shortly before acquiring permanent physical status.,,Academic,stone; bronze; crystal; wood; compatible other,statue; memorial; preserved humanoid,Unconscious,Post-Mobile Citizen or University Property,Self; University; Disputed,Represented or Restricted,route-derived,university campus,academic; memorial,uncommon,false,The institution finally guarantees her position.
END-ACA-002,ACA,Peer-Reviewed Permanence,,The protagonist becomes the most convincing evidence in her own research.,,Academic; Medical; Research,variable,research specimen; preserved humanoid; installation,Unconscious or Uncertain,Research Subject; Post-Mobile Citizen; Disputed,University; Institute; Self,Restricted or Represented,route-derived,research institute; university,research evidence; academic artifact,rare,false,Her paper may continue receiving citations.
END-MED-001,MED,Last Version of You,,The protagonist undergoes deliberate mid-life preservation marketed as locking in her best self.,,Medical; Commercial Preservation; Mid-Life,flexible; often prestige or synthetic,preserved humanoid; statue; mannequin,Unconscious,Post-Mobile Citizen or Contractual Asset,Self; Provider under contract,Represented or Contractual,Enthusiastic; Accepting; Resigned; Ambiguous,private residence; preservation facility; display,preserved self; consumer product,uncommon,false,Mid-life crisis industrialized.
END-MED-002,MED,Cheap Immortality,,"Permanent preservation works at remarkably low cost; the expense reappears in rights, placement, maintenance, or aesthetics.",,Medical; Finance,synthetic; temporal; low-cost stone/ceramic; compatible other,flexible,Unconscious; Suspended if temporal,Contractual Post-Mobile Citizen or Asset,route-derived,Contractual or Restricted,route-derived,route-derived,preserved patient; low-cost contract,rare,false,T1026 synergy. Synthetic is not inherently cheap.
END-REL-001,REL,"Sacred Object, Pending Appeal",,A religious institution recognizes the protagonist as sacred property while civil authorities dispute whether she remains a legal person.,,Religious; Legal,wood; marble; crystal; obsidian; ceremonial metal,statue; relic; ceremonial object,Unconscious,Legally Disputed,Religious Institution; Self; Disputed,Restricted or Represented,route-derived,religious site,sacred object; citizen; relic,rare,false,Sacred and litigated.
END-TMP-001,TMP,Time Served,,The protagonist enters indefinite temporal fixation; no subjective time passes while outside obligations continue.,,Temporal; Legal; Finance,temporal,temporal still-frame,Suspended,Post-Mobile Citizen; Disputed; Asset,Self; institution; disputed,Contractual or Represented,route-derived,temporal facility; archive; route-derived,preserved person; legal anomaly,rare,false,Elapsed legal time and experienced time diverge.
END-FIN-003,FIN,No Longer Depreciating,,Conversion causes the protagonist's assessed financial value to stabilize or increase.,,Finance; Museum; Corporate,durable or valuable,asset object; statue; preserved humanoid,Unconscious,Asset; Cultural Property; Corporate Asset,route-derived,Restricted or None,route-derived,route-derived,asset; investment,rare,false,An accountant calls this an improvement.
END-MUS-004,MUS,Mixed Media,,The protagonist intentionally or accidentally becomes a recognized multi-material work.,,Museum; Restoration; Anomalous,mixed only,statue; installation; preserved humanoid,Unconscious,Cultural Property or Post-Mobile Citizen,Museum; Self; Disputed,Restricted or Represented,route-derived,museum; gallery; conservation facility,artwork; conservation subject,rare,false,Requires explicit authored mixed-material transition.
END-ANO-001,ANO,Object Permanence,,The protagonist remains subjectively herself despite substantial later alteration to the Permanent Form.,,Anomalous,flexible,flexible,Continuous or Intermittent,route-derived,route-derived,route-derived,route-derived,route-derived,anomalous continuous identity,hidden,true,Requires T1028 or explicit equivalent. Not invulnerability.
END-ANO-002,ANO,Soul Cannot Harden,,The body reaches permanent solidification while consciousness does not remain bound to it.,,Anomalous; Religious; Reincarnation,flexible,flexible,Displaced,route-derived,route-derived,route-derived,route-derived,route-derived,permanent body; displaced self,hidden,true,Requires T1029 or explicit equivalent.
