id,rarity,name_en,name_zh_tw,description_en,description_zh_tw,trigger_type,condition,visible_effects,hidden_effects,channel_hooks,family_hooks,incompatible_with,designer_notes,drafting_favor,drafting_strongly_favor,drafting_suppress,unlock_tags,redirect_tags,narrative_tags,registered_species_rule,start_fix_bonus
T1019,Rare,Hard to Kill,,Death has repeatedly demonstrated poor follow-through.,,passive,,No direct attribute modifier,"Authored fatal events may redirect into emergency solidification, temporal suspension, or synthetic/medical preservation.",route_special,medical; temporal; preservation,,Does not prevent permanent endings.,,,,,fatal_to_emergency_preservation;fatal_to_temporal;fatal_to_synthetic,medical;temporal;preservation,,
T1020,Rare,Old Soul,,Some places feel familiar before you have ever visited them.,,passive,,No direct attribute modifier,Unlocks stronger AEVT/reincarnation-memory events.,route_special,memory; reincarnation,,Cross-run depth without simultaneous selves.,,,,aevt_memory;reincarnation_memory,,memory;reincarnation,,
T1021,Rare,Magnetic Personality,,"People are drawn to you. Occasionally, so are metal objects.",,start,,CHR +2,Favors metal transformation family and selected public/social events.,transformation,metal; social,,Literal mechanical pun.,family:METL,,,,,metal;social,,
T1022,Rare,Union Member,,Your employment contract is not the only contract in the room.,,passive,,No direct attribute modifier,Unlocks labor/legal branches; suppresses some unilateral employer outcomes; favors arbitration/strike chains.,institutional,labor; legal; corporate,,"Changes leverage, not whether workplace transformation can occur.",,,,labor_legal_branch,unilateral_employer_to_negotiated,labor;legal;corporate;arbitration;strike,,
T1023,Rare,Main Character Syndrome,,Statistically improbable things keep happening near you.,,passive,,No direct attribute modifier,Strongly favors Route/Special channel; reduces uneventful outcomes.,route_special,rare; hidden,T1010,High variance rather than raw power.,,channel:SPC,family:GEN,,,rare;hidden,,
T1024,Legendary,"My Body, My Property",,"You have unusually strong opinions about the meaning of ""self-ownership."" The courts may eventually hear them.",,passive,,No direct attribute modifier,Unlocks self-ownership/personhood branches after Permanent Form.,route_special,legal; ownership,,"Changes ending meaning, not transformation probability.",,,,self_ownership;personhood,,legal;ownership,,
T1025,Legendary,Unregistered Species,,"According to several databases, you do not technically have a species.",,passive,,No direct attribute modifier,Institutional events may treat species as unavailable while biological tendencies remain true species.,route_special,bureaucracy; species_registration,T1030,Classification anomaly without extra numeric meters.,,,,species_unavailable_institutionally,,bureaucracy;species_registration,UNREGISTERED,
T1026,Legendary,Cheap Immortality,,Eternal preservation is surprisingly affordable if you stop asking questions.,,passive,,No direct attribute modifier,Dangerous events may redirect into low-cost permanent preservation with legal/location/maintenance tradeoffs.,route_special,preservation; finance; medical,,"Cheap describes service/route, not synthetic material as a category.",,,,,danger_to_low_cost_preservation,preservation;finance;medical,,
T1027,Legendary,Hairline Fracture,,Something about you has been slightly wrong for as long as you can remember.,,start_hidden,,No visible attribute modifier,Raises starting FIX; unlocks fracture/restoration/anomalous-material routes and earlier transformation eligibility.,route_special,fracture; restoration; anomaly,,FIX effect remains completely hidden in UI.,,,,fracture;restoration;anomalous_material;earlier_transformation,,fracture;restoration;anomaly,,
T1028,Anomalous,Object Permanence,,Changing the object does not necessarily change the person.,,passive,,No direct attribute modifier,"Where authored, consciousness continuity can survive carving, cracking, repair, recasting, relocation, or incorporation.",route_special,identity; continuity,T1029,"Creates unsettling epilogues, not invulnerability.",,,,continuous_identity;intermittent_identity,,identity;continuity,,
T1029,Anomalous,Soul Cannot Harden,,Your body may become permanent. Something else refuses to stay.,,passive,,No direct attribute modifier,"Where authored, consciousness need not remain permanently bound to the final object.",route_special,identity; soul; reincarnation,T1028,Permanent body still exists.,,,,displaced_awareness,,identity;soul;reincarnation,,
T1030,Anomalous,Wrong Species Certificate,,Your biology and your paperwork disagree.,,start_hidden,,No direct attribute modifier,Assigns a different registeredSpecies while keeping true biological species for transformation tendencies.,route_special,bureaucracy; species_registration,T1025,Institutional branches may use registeredSpecies; biological tendencies use true species.,,,,registered_species_mismatch,,bureaucracy;species_registration,SEEDED_OTHER_SPECIES,
